organism,count
"gi|2363081891|ref|NR_179191.1| Tepidimonas arfidensis strain JCM 13232 16S ribosomal RNA, partial sequence",7
"gi|566085463|ref|NR_109514.1| Tepidimonas fonticaldi strain AT-A2 16S ribosomal RNA, partial sequence",7
"gi|219846165|ref|NR_025755.1| Tepidimonas aquatica strain CLN-1 16S ribosomal RNA, partial sequence",7
"gi|2282568583|ref|NR_176987.1| Gloeobacter morelensis strain MG652769 16S ribosomal RNA, complete sequence",7
"gi|631253075|ref|NR_114273.1| Lacibacter cauensis strain NBRC 104930 16S ribosomal RNA, partial sequence",7
"gi|974142226|ref|NR_134746.1| Hydrobacter penzbergensis strain EM 4 16S ribosomal RNA, partial sequence",7
"gi|219856846|ref|NR_024665.1| Staphylococcus caprae strain ATCC 35538 16S ribosomal RNA, partial sequence",7
"gi|559795114|ref|NR_104700.1| Blautia coccoides strain JCM 1395 16S ribosomal RNA, partial sequence",7
"gi|2136551638|ref|NR_173642.1| Ruminococcoides bili strain IPLA60002 16S ribosomal RNA, partial sequence",7
"gi|2363084544|ref|NR_180520.1| Ruminococcus bovis strain JE7A12 16S ribosomal RNA, complete sequence",7
"gi|2221405394|ref|NR_175506.1| Ramlibacter algicola strain CrO1 16S ribosomal RNA, partial sequence",7
"gi|645322445|ref|NR_119191.1| Bradyrhizobium japonicum strain DSM 30131 16S ribosomal RNA, partial sequence",7
"gi|2363081048|ref|NR_178767.1| Sphingomonas parvus strain GP20-2 16S ribosomal RNA, partial sequence",7
"gi|1341394074|ref|NR_153746.1| Sphingomonas lutea strain JS5 16S ribosomal RNA, partial sequence",7
"gi|631252072|ref|NR_113270.1| Blautia producta ATCC 27340 = DSM 2950 strain JCM 1471 16S ribosomal RNA, partial sequence",7
"gi|559795169|ref|NR_104758.1| Lachnospira multipara ATCC 19207 strain D32 16S ribosomal RNA, partial sequence",7
"gi|2221405238|ref|NR_175442.1| Rhodoferax lacus strain IMCC26218 16S ribosomal RNA, partial sequence",7
"gi|2363083002|ref|NR_179749.1| Methylibium rhizosphaerae strain C1-9 16S ribosomal RNA, partial sequence",7
"gi|2363086234|ref|NR_181369.1| Clostridium vitabionis strain YH-T4B42 16S ribosomal RNA, partial sequence",7
"gi|2296162966|ref|NR_177915.1| Ramsaria avicennae 16S ribosomal RNA, complete sequence",7
"gi|1909404440|ref|NR_170495.1| Blautia faecicola strain KGMB01111 16S ribosomal RNA, complete sequence",7
"gi|645319922|ref|NR_117254.1| Arthrobacter alpinus strain S6-3 16S ribosomal RNA, partial sequence",7
"gi|2363080227|ref|NR_178338.1| Ginsengibacter hankyongi strain BR5-29 16S ribosomal RNA, partial sequence",7
"gi|1779814848|ref|NR_164923.1| Flavitalea flava strain AN120636 16S ribosomal RNA, partial sequence",7
"gi|636558538|ref|NR_114595.1| Pseudomonas tolaasii NCPPB 2192 16S ribosomal RNA, partial sequence",7
"gi|2221405274|ref|NR_175455.1| Streptococcus downii 16S ribosomal RNA, partial sequence",7
"gi|343200160|ref|NR_040847.1| Cutibacterium acnes strain ATCC 6919 16S ribosomal RNA, partial sequence >gi|631251830|ref|NR_113028.1| Cutibacterium acnes strain JCM 6425 16S ribosomal RNA, partial sequence",7
"gi|1315204035|ref|NR_152705.1| Paraburkholderia pallidirosea strain DHOK13 16S ribosomal RNA, partial sequence",7
"gi|2962412350|ref|NR_199545.1| Streptococcus mitis subsp. carlssonii strain SK608 16S ribosomal RNA, partial sequence",7
"gi|1520188667|ref|NR_159891.1| Terrimonas soli strain FL-8 16S ribosomal RNA, partial sequence",7
"gi|602260096|ref|NR_044664.2| Malacoplasma muris strain RIII-4 16S ribosomal RNA, partial sequence",7
"gi|219856883|ref|NR_024702.1| Curvibacter lanceolatus strain ATCC 14669 16S ribosomal RNA, partial sequence",6
"gi|470467694|ref|NR_074188.1| Roseiflexus castenholzii strain DSM 13941 16S ribosomal RNA, partial sequence",6
"gi|343198521|ref|NR_042777.1| Streptococcus vestibularis ATCC 49124 16S ribosomal RNA, partial sequence",6
"gi|2836274944|ref|NR_197707.1| Dongia sedimenti strain R-7 16S ribosomal RNA, partial sequence",6
"gi|343202751|ref|NR_043189.1| Phyllobacterium myrsinacearum strain STM 948 16S ribosomal RNA, partial sequence",6
"gi|343203027|ref|NR_043551.1| Lactonifactor longoviformis strain ED-Mt61/PYG-s6 16S ribosomal RNA, partial sequence",6
"gi|219846061|ref|NR_025651.1| Anaerotignum lactatifermentans strain G17 16S ribosomal RNA, partial sequence",6
"gi|2363084413|ref|NR_180454.1| Sphingomonas solaris strain R4DWN 16S ribosomal RNA, partial sequence",6
"gi|2363084407|ref|NR_180451.1| Enterobacter quasihormaechei strain WCHEs120003 16S ribosomal RNA, partial sequence",6
"gi|265678954|ref|NR_029262.1| Brevibacterium epidermidis strain P159 16S ribosomal RNA, partial sequence",6
"gi|2363086388|ref|NR_181446.1| Brevibacterium renqingii strain REN4 16S ribosomal RNA, partial sequence",6
"gi|1397641798|ref|NR_156907.1| Faecalimonas umbilicata strain EGH7 16S ribosomal RNA, partial sequence",6
"gi|219856832|ref|NR_024651.1| Acidiphilium multivorum strain AIU 301 16S ribosomal RNA, partial sequence",6
"gi|636558410|ref|NR_114466.1| Delftia acidovorans strain ACM 489 16S ribosomal RNA, partial sequence",6
"gi|1240411957|ref|NR_149304.1| Crenalkalicoccus roseus strain YIM 78023 16S ribosomal RNA, partial sequence",6
"gi|1240411921|ref|NR_149253.1| Paracoccus speluncae strain 0911TES13M5 16S ribosomal RNA, partial sequence",6
"gi|310975253|ref|NR_037117.1| Bifidobacterium pseudocatenulatum strain B1279 16S ribosomal RNA, partial sequence",6
"gi|219857278|ref|NR_024909.1| Pseudomonas orientalis strain CFML 96-170 16S ribosomal RNA, partial sequence",6
"gi|636558681|ref|NR_114738.1| Thermoactinomyces intermedius strain ATCC 33205 16S ribosomal RNA, partial sequence",6
"gi|545589041|ref|NR_044644.2| Agathobaculum desmolans strain ATCC 43058 16S ribosomal RNA, partial sequence",6
"gi|343205664|ref|NR_044033.1| Streptacidiphilus melanogenes strain SB-B34 16S ribosomal RNA, partial sequence",6
"gi|228719712|ref|NR_027584.1| Acidimicrobium ferrooxidans strain DSM 10331 16S ribosomal RNA, partial sequence",6
"gi|343198950|ref|NR_044119.1| Parapedobacter soli strain DCY14 16S ribosomal RNA, partial sequence",6
"gi|343200182|ref|NR_040869.1| Cupriavidus laharis strain 1263a 16S ribosomal RNA, partial sequence",6
"gi|645320408|ref|NR_117620.1| Acinetobacter baumannii strain ATCC 19606 16S ribosomal RNA, partial sequence",6
"gi|586661744|ref|NR_044869.2| Bradyrhizobium lupini strain DSM 30140 16S ribosomal RNA, partial sequence",6
"gi|1397641809|ref|NR_156918.1| Luteitalea pratensis strain HEG_-6_39 16S ribosomal RNA, partial sequence",6
"gi|343198999|ref|NR_044280.1| Halpernia marina strain IMCC3228 16S ribosomal RNA, partial sequence",6
"gi|1445135942|ref|NR_157981.1| Novosphingobium clariflavum strain CICC11035s 16S ribosomal RNA, partial sequence",6
"gi|343206041|ref|NR_044611.1| Methylovirgula ligni strain BW863 16S ribosomal RNA, partial sequence",6
"gi|2962412233|ref|NR_199427.1| Bacteriovorax antarcticus strain PP10 16S ribosomal RNA, partial sequence",6
"gi|2363080621|ref|NR_178552.1| Thermopetrobacter submarinus strain TC-2 16S ribosomal RNA, partial sequence",6
"gi|2363086784|ref|NR_181649.1| Rhizobium cremeum strain W15 16S ribosomal RNA, partial sequence",6
"gi|1491519567|ref|NR_159260.1| Streptomyces capitiformicae strain 1H-SSA4 16S ribosomal RNA, partial sequence",6
"gi|545589069|ref|NR_044693.2| Bifidobacterium longum subsp. suis strain ATCC 27533 16S ribosomal RNA, partial sequence",6
"gi|2363087331|ref|NR_181922.1| Rhodocyclus gracilis strain DSM 110 16S ribosomal RNA, complete sequence",6
"gi|2221405185|ref|NR_175421.1| Sphingomonas segetis strain YJ09 16S ribosomal RNA, partial sequence",6
"gi|645319888|ref|NR_117230.1| Sphingomonas alpina strain S8-3 16S ribosomal RNA, partial sequence",6
"gi|959495011|ref|NR_133862.1| Sphingomonas daechungensis strain CH15-11 16S ribosomal RNA, partial sequence",6
"gi|1315204045|ref|NR_152715.1| Lysobacter rhizophilus strain THG-YS3.6 16S ribosomal RNA, partial sequence",6
"gi|2363084485|ref|NR_180490.1| Bradyrhizobium diversitatis strain CNPSo 4019 16S ribosomal RNA, partial sequence",6
"gi|959494981|ref|NR_133836.1| Ramlibacter ginsenosidimutans strain BXN5-27 16S ribosomal RNA, partial sequence",6
"gi|343198658|ref|NR_043213.1| Desulfuromonas svalbardensis strain 112 16S ribosomal RNA, partial sequence",6
"gi|2363081214|ref|NR_178850.1| Burkholderia paludis strain MSh1 16S ribosomal RNA, partial sequence",6
"gi|2363084172|ref|NR_180335.1| Polyangium aurulentum strain SDU3-1 16S ribosomal RNA, partial sequence",6
"gi|645321454|ref|NR_118416.1| Peterkaempfera griseoplana strain NRRL-ISP 5009 16S ribosomal RNA, partial sequence",6
"gi|1315203965|ref|NR_152634.1| Deinococcus malanensis strain T93 16S ribosomal RNA, partial sequence",6
"gi|2363085219|ref|NR_180858.1| Rhabdaerophilum calidifontis strain SYSU G02060 16S ribosomal RNA, partial sequence",6
"gi|2363082603|ref|NR_179548.1| Coprococcus phoceensis strain Marseille-P3062 16S ribosomal RNA, partial sequence",6
"gi|2363086580|ref|NR_181547.1| Steroidobacter gossypii strain S1-65 16S ribosomal RNA, partial sequence",6
"gi|961555220|ref|NR_134189.1| Peristeroidobacter agariperforans strain KA5-B 16S ribosomal RNA, partial sequence",6
"gi|343202931|ref|NR_043425.1| Pseudomonas synxantha strain IAM 12356 16S ribosomal RNA, partial sequence",6
"gi|1199303401|ref|NR_147752.1| Egibacter rhizosphaerae strain EGI 80759 16S ribosomal RNA, partial sequence",6
"gi|2363082276|ref|NR_179385.1| Streptococcus toyakuensis strain TP1632 16S ribosomal RNA, partial sequence",6
"gi|631251998|ref|NR_113196.1| Neomoorella thermoacetica strain JCM 9319 16S ribosomal RNA, partial sequence",6
"gi|566085280|ref|NR_109152.1| Cupriavidus alkaliphilus strain ASC-732 16S ribosomal RNA, partial sequence",6
"gi|559795286|ref|NR_104877.1| Rickettsia hoogstraalii strain Croatica 16S ribosomal RNA, partial sequence",5
"gi|2363082583|ref|NR_179538.1| Lachnoclostridium urinimassiliense strain Marseille-P2804 16S ribosomal RNA, partial sequence",5
"gi|310975204|ref|NR_037068.1| Lacrimispora xylanolytica strain DSM 6555 16S ribosomal RNA, partial sequence",5
"gi|2363084134|ref|NR_180316.1| Pseudocitrobacter vendiensis strain CPO20170097 16S ribosomal RNA, complete sequence",5
"gi|2363082765|ref|NR_179631.1| Corynebacterium dentalis strain Marseille-P4122 16S ribosomal RNA, partial sequence",5
"gi|2296162741|ref|NR_177688.1| Gloeothece tonkinensis 16S ribosomal RNA, partial sequence",5
"gi|645321515|ref|NR_118463.1| Paracoccus siganidrum strain M26 16S ribosomal RNA, partial sequence",5
"gi|526641957|ref|NR_103954.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",5
"gi|636559008|ref|NR_115065.1| Chthonomonas calidirosea T49 16S ribosomal RNA, partial sequence",5
"gi|631251811|ref|NR_113009.1| Armatimonas rosea strain YO-36 16S ribosomal RNA, partial sequence",5
"gi|645319944|ref|NR_117270.1| Sphingomonas glacialis strain C16y 16S ribosomal RNA, partial sequence",5
"gi|961555065|ref|NR_134033.1| Flavisolibacter rigui strain 02SUJ3 16S ribosomal RNA, partial sequence",5
"gi|444303822|ref|NR_074244.1| Methylobacterium radiotolerans JCM 2831 16S ribosomal RNA, partial sequence",5
"gi|645320194|ref|NR_117457.1| Acetobacter ascendens strain LMG 1591 16S ribosomal RNA, partial sequence",5
"gi|2221405390|ref|NR_175503.1| Actinacidiphila oryziradicis strain NEAU-C40 16S ribosomal RNA, partial sequence",5
"gi|1109168013|ref|NR_144605.1| Acutalibacter muris strain KB18 16S ribosomal RNA, partial sequence",5
"gi|2363085726|ref|NR_181115.1| Acinetobacter shaoyimingii strain 323-1 16S ribosomal RNA, partial sequence",5
"gi|2363080904|ref|NR_178695.1| Pseudobacteriovorax antillogorgiicola strain RKEM611 16S ribosomal RNA, partial sequence",5
"gi|566084877|ref|NR_108377.1| Dokdonella immobilis strain LM2-5 16S ribosomal RNA, partial sequence",5
"gi|2363087079|ref|NR_181795.1| Agrilutibacter terrestris strain II4 16S ribosomal RNA, partial sequence",5
"gi|645320493|ref|NR_117686.1| Klebsiella pneumoniae strain DSM 30104 16S ribosomal RNA, partial sequence",5
"gi|645320492|ref|NR_117685.1| Klebsiella pneumoniae strain DSM 30104 16S ribosomal RNA, partial sequence",5
"gi|645320491|ref|NR_117684.1| Klebsiella pneumoniae strain DSM 30104 16S ribosomal RNA, partial sequence",5
"gi|2363086520|ref|NR_181517.1| Massilia rhizosphaerae strain NEAU-GH312 16S ribosomal RNA, partial sequence",5
"gi|2296162731|ref|NR_177678.1| Desmonostoc danxiaense 16S ribosomal RNA, partial sequence",5
"gi|645321781|ref|NR_118667.1| Lachnospira pectinoschiza strain 150-1 16S ribosomal RNA, partial sequence",5
"gi|343201403|ref|NR_042129.1| Sphingomonas faeni strain MA-olki 16S ribosomal RNA, partial sequence",5
"gi|1193829158|ref|NR_147401.1| Sutterella massiliensis strain Marseille-P2435 16S ribosomal RNA, partial sequence",5
"gi|444303860|ref|NR_074282.1| Gloeobacter violaceus PCC 7421 16S ribosomal RNA, complete sequence",5
"gi|2363085832|ref|NR_181168.1| Gluconacetobacter dulcium strain LMG 1728 16S ribosomal RNA, partial sequence",5
"gi|961555189|ref|NR_134158.1| Roseiarcus fermentans strain Pf56 16S ribosomal RNA, partial sequence",5
"gi|1315204034|ref|NR_152704.1| Chelatococcus reniformis strain B2974 16S ribosomal RNA, partial sequence",5
"gi|2363080259|ref|NR_178354.1| Acidovorax carolinensis strain NA3 16S ribosomal RNA, partial sequence",5
"gi|485099060|ref|NR_102457.1| Anabaena cylindrica PCC 7122 16S ribosomal RNA, partial sequence",5
"gi|645321810|ref|NR_118690.1| Mediterraneibacter gnavus ATCC 29149 16S ribosomal RNA, partial sequence",5
"gi|343205989|ref|NR_044527.1| Nesterenkonia alba strain CAAS 252 16S ribosomal RNA, partial sequence",5
"gi|2363083915|ref|NR_180206.1| Sphingomonas gilva strain ZDH117 16S ribosomal RNA, partial sequence",5
"gi|1269785499|ref|NR_116360.2| Bradyrhizobium cytisi strain CTAW11 16S ribosomal RNA, complete sequence",5
"gi|2363080387|ref|NR_178421.1| Novosphingobium arvoryzae strain Jyi-02 16S ribosomal RNA, partial sequence",5
"gi|645320411|ref|NR_117622.1| Acinetobacter haemolyticus strain ATCC 17906 16S ribosomal RNA, partial sequence",5
"gi|631251591|ref|NR_112789.1| Blautia glucerasea strain HFTH-1 16S ribosomal RNA, partial sequence",5
"gi|1315203998|ref|NR_152667.1| Sediminibacterium aquarii strain AA5 16S ribosomal RNA, partial sequence",5
"gi|1491509599|ref|NR_159130.1| Sediminibacterium roseum strain SYL130 16S ribosomal RNA, partial sequence",5
"gi|2363087289|ref|NR_181900.1| Chromobacterium sinusclupearum strain MWU13-2610 16S ribosomal RNA, partial sequence",5
"gi|2363082272|ref|NR_179383.1| Streptococcus vulneris strain DM3B3 16S ribosomal RNA, complete sequence",5
"gi|444439515|ref|NR_074830.1| Conexibacter woesei strain DSM 14684 16S ribosomal RNA, partial sequence",5
"gi|636560861|ref|NR_116921.1| Dactylosporangium darangshiense strain DLS-44 16S ribosomal RNA, partial sequence",5
"gi|1246951799|ref|NR_149803.1| Bradyrhizobium americanum strain CMVU44 16S ribosomal RNA, partial sequence",5
"gi|631250917|ref|NR_112114.1| Roseiflexus castenholzii DSM 13941 strain HLO8 16S ribosomal RNA, partial sequence",5
"gi|2363084132|ref|NR_180315.1| Xylanivirga thermophila strain SYSU GA17129 16S ribosomal RNA, partial sequence",5
"gi|2621112340|ref|NR_189244.1| Aristaeella hokkaidonensis strain R-7 16S ribosomal RNA, partial sequence",5
"gi|343198675|ref|NR_043249.1| Denitratisoma oestradiolicum strain AcBE2-1 16S ribosomal RNA, partial sequence",5
"gi|219857659|ref|NR_025248.1| Novosphingobium pentaromativorans US6-1 16S ribosomal RNA, partial sequence",5
"gi|343200601|ref|NR_041288.1| Paraburkholderia ginsengisoli strain KMY03 16S ribosomal RNA, partial sequence",5
"gi|645320959|ref|NR_118041.1| Noviherbaspirillum soli strain SUEMI10 16S ribosomal RNA, partial sequence",5
"gi|2363084747|ref|NR_180622.1| Gemmiger gallinarum strain Cla-CZ-245 16S ribosomal RNA, partial sequence",5
"gi|959495012|ref|NR_133863.1| Sphingomonas guangdongensis strain 9NM-8 16S ribosomal RNA, partial sequence",5
"gi|2363082767|ref|NR_179632.1| Scatolibacter rhodanostii strain Marseille-P3890 16S ribosomal RNA, partial sequence",5
"gi|1864207049|ref|NR_169343.1| Roseomonas chloroacetimidivorans strain BUT-13 16S ribosomal RNA, partial sequence",5
"gi|631252421|ref|NR_113619.1| Cupriavidus oxalaticus NBRC 13593 16S ribosomal RNA, partial sequence",5
"gi|444304033|ref|NR_074457.1| Catenulispora acidiphila DSM 44928 16S ribosomal RNA, partial sequence",5
"gi|2296162960|ref|NR_177909.1| Pycnacronema brasiliensis isolate F 16S ribosomal RNA, partial sequence",5
"gi|444304032|ref|NR_074456.1| Deinococcus deserti VCD115 16S ribosomal RNA, partial sequence",5
"gi|2180566448|ref|NR_174296.1| Bradyrhizobium australiense strain CNPSO:4014 16S ribosomal RNA, partial sequence",5
"gi|2221405488|ref|NR_175548.1| Phocaeicola faecicola strain AGMB03916 16S ribosomal RNA, complete sequence",5
"gi|2180566467|ref|NR_174307.1| Arthrobacter zhaoguopingii strain J391 16S ribosomal RNA, partial sequence",5
"gi|343200947|ref|NR_041634.1| Iamia majanohamensis strain NBRC 102561 16S ribosomal RNA, partial sequence",5
"gi|2363081014|ref|NR_178750.1| Kribbella capetownensis strain YM53 16S ribosomal RNA, partial sequence",5
"gi|343202324|ref|NR_042610.1| Herminiimonas saxobsidens strain NS11 16S ribosomal RNA, partial sequence",5
"gi|1558439486|ref|NR_160523.1| Orrella dioscoreae strain LMG 29303 16S ribosomal RNA, partial sequence",5
"gi|2363086218|ref|NR_181361.1| Undibacterium rugosum strain CY7W 16S ribosomal RNA, partial sequence",5
"gi|265678797|ref|NR_029102.1| Hydrocarboniphaga effusa strain AP103 16S ribosomal RNA, partial sequence",5
"gi|2962412312|ref|NR_199507.1| Curvibacter soli strain H39-3-26 16S ribosomal RNA, partial sequence",5
"gi|1269235420|ref|NR_149217.2| Microbacterium lacusdiani strain JXJ CY 01 16S ribosomal RNA, complete sequence",5
"gi|2363085764|ref|NR_181134.1| Levilactobacillus tujiorum strain HBUAS51241 16S ribosomal RNA, partial sequence",5
"gi|959495019|ref|NR_133869.1| Streptomyces barkulensis strain RC 1831 16S ribosomal RNA, partial sequence",4
"gi|1179766740|ref|NR_146690.1| Dongia soli strain D78 16S ribosomal RNA, partial sequence",4
"gi|2363081347|ref|NR_178918.1| Legionella norrlandica strain LEGN 16S ribosomal RNA, partial sequence",4
"gi|310975152|ref|NR_037016.1| Acidomonas methanolica strain MB 58 16S ribosomal RNA, partial sequence",4
"gi|645320968|ref|NR_118048.1| Sphingomonas swuensis strain PB62 16S ribosomal RNA, partial sequence",4
"gi|1445136010|ref|NR_158050.1| Tundrisphaera lichenicola strain P12 16S ribosomal RNA, partial sequence",4
"gi|566085523|ref|NR_109596.1| Massilia yuzhufengensis strain Y1243-1 16S ribosomal RNA, partial sequence",4
"gi|1441204366|ref|NR_157781.1| Massilia agri strain K-3-1 16S ribosomal RNA, partial sequence",4
"gi|636558924|ref|NR_114981.1| Bryobacter aggregatus strain MPL3 16S ribosomal RNA, partial sequence",4
"gi|310974915|ref|NR_036779.1| Geothrix fermentans strain H5 16S ribosomal RNA, partial sequence",4
"gi|310975027|ref|NR_036891.1| Holophaga foetida strain TMBS4 16S ribosomal RNA, partial sequence",4
"gi|2621112359|ref|NR_189263.1| Mesoterricola silvestris strain W79 16S ribosomal RNA, partial sequence",4
"gi|444439443|ref|NR_074758.1| Sulfobacillus acidophilus DSM 10332 16S ribosomal RNA, partial sequence",4
"gi|343200256|ref|NR_040943.1| Sulfobacillus acidophilus DSM 10332 16S ribosomal RNA, partial sequence",4
"gi|2363084490|ref|NR_180493.1| Bradyrhizobium australafricanum strain CNPSo 4015 16S ribosomal RNA, partial sequence",4
"gi|2363082968|ref|NR_179732.1| Bradyrhizobium ripae strain WR4 16S ribosomal RNA, partial sequence",4
"gi|219878235|ref|NR_025374.1| Methylobacterium fujisawaense strain DSM 5686 16S ribosomal RNA, partial sequence",4
"gi|343198627|ref|NR_043104.1| Methylobacterium oryzae CBMB20 16S ribosomal RNA, partial sequence",4
"gi|2363083485|ref|NR_179991.1| Phreatobacter cathodiphilus strain S-12 16S ribosomal RNA, partial sequence",4
"gi|645321813|ref|NR_118692.1| Blautia obeum ATCC 29174 16S ribosomal RNA, partial sequence",4
"gi|219846701|ref|NR_026293.1| Dactylosporangium roseum strain DSM 43916 16S ribosomal RNA, partial sequence",4
"gi|1277396298|ref|NR_152009.1| Massilia pinisoli strain T33 16S ribosomal RNA, partial sequence",4
"gi|2296162732|ref|NR_177679.1| Desmonostoc danxiaense 16S ribosomal RNA, partial sequence",4
"gi|2463901772|ref|NR_184610.1| Apilactobacillus apisilvae strain SG5_A10 16S ribosomal RNA, partial sequence",4
"gi|2363081534|ref|NR_179013.1| Apilactobacillus timberlakei strain HV_12 16S ribosomal RNA, partial sequence",4
"gi|636560355|ref|NR_116415.1| Sphingomonas changbaiensis NBRC 104936 strain V2M44 16S ribosomal RNA, partial sequence",4
"gi|645321924|ref|NR_118789.1| Novosphingobium aromaticivorans strain SMCC F199 16S ribosomal RNA, partial sequence",4
"gi|444303851|ref|NR_074273.1| Allomeiothermus silvanus strain VI-R2 16S ribosomal RNA, partial sequence",4
"gi|228720981|ref|NR_027600.1| Allomeiothermus silvanus strain V1-R2 16S ribosomal RNA, partial sequence",4
"gi|219846066|ref|NR_025656.1| Paraburkholderia hospita strain LMG 20598 16S ribosomal RNA, partial sequence",4
"gi|1277396314|ref|NR_152025.1| Jatrophihabitans huperziae strain I13A-01604 16S ribosomal RNA, partial sequence",4
"gi|310974914|ref|NR_036777.1| [Ruminococcus] torques strain VPI B2-51 16S ribosomal RNA, partial sequence",4
"gi|559795211|ref|NR_104800.1| Faecalicatena fissicatena strain DSM 3598 16S ribosomal RNA, partial sequence",4
"gi|1109168019|ref|NR_144608.1| Cuneatibacter caecimuris strain BARN-424-CC-10 16S ribosomal RNA, partial sequence",4
"gi|343201081|ref|NR_041768.1| Methylibium petroleiphilum PM1 16S ribosomal RNA, partial sequence",4
"gi|2621112366|ref|NR_189270.1| Danxiaibacter flavus strain SYSU DXS3180 16S ribosomal RNA, partial sequence",4
"gi|566085573|ref|NR_109656.1| Paracidovorax wautersii strain NF 1078 16S ribosomal RNA, partial sequence >gi|645321445|ref|NR_118410.1| Paracidovorax wautersii strain NF 1078 16S ribosomal RNA, partial sequence",4
"gi|1779814861|ref|NR_164936.1| Mucilaginibacter xinganensis strain BJC16-A31 16S ribosomal RNA, partial sequence",4
"gi|631252207|ref|NR_113405.1| Staphylococcus saccharolyticus strain JCM 1768 16S ribosomal RNA, partial sequence",4
"gi|310974936|ref|NR_036800.1| Mediterraneibacter gnavus ATCC 29149 16S ribosomal RNA, partial sequence",4
"gi|1116030269|ref|NR_144727.1| Anaeromassilibacillus senegalensis strain mt9 16S ribosomal RNA, partial sequence",4
"gi|2363084348|ref|NR_180422.1| Microbacterium protaetiae strain DFW100M-13 16S ribosomal RNA, complete sequence",4
"gi|265678657|ref|NR_028962.1| Novosphingobium hassiacum strain W-51 16S ribosomal RNA, partial sequence",4
"gi|2180566381|ref|NR_174244.1| Aquabacterium lacunae strain KMB7 16S ribosomal RNA, partial sequence",4
"gi|1491514571|ref|NR_159180.1| Phenylobacterium deserti strain YIM 73061 16S ribosomal RNA, partial sequence",4
"gi|559795177|ref|NR_104766.1| Microvirga subterranea strain FaiI4 16S ribosomal RNA, partial sequence",4
"gi|636559078|ref|NR_115135.1| Microvirga subterranea strain FaiI4 16S ribosomal RNA, partial sequence",4
"gi|2363086160|ref|NR_181332.1| Microvirga mediterraneensis strain Marseille-Q2068 16S ribosomal RNA, partial sequence",4
"gi|699005391|ref|NR_126260.1| Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",4
"gi|219846340|ref|NR_025930.1| Ruminococcus bromii strain ATCC 27255 16S ribosomal RNA, partial sequence",4
"gi|2962412222|ref|NR_199416.1| Minisyncoccus archaeiphilus strain PMX.108 16S ribosomal RNA, partial sequence",4
"gi|343201710|ref|NR_042436.1| Limosilactobacillus coleohominis DSM 14060 16S ribosomal RNA, partial sequence",4
"gi|631253127|ref|NR_114325.1| Methylobacterium haplocladii strain 87e 16S ribosomal RNA, partial sequence",4
"gi|1193829132|ref|NR_147375.1| Colidextribacter massiliensis strain Marseille-P3083 16S ribosomal RNA, partial sequence",4
"gi|645322192|ref|NR_118998.1| Streptococcus thermophilus strain DSM 20617 16S ribosomal RNA, partial sequence",4
"gi|1397641802|ref|NR_156911.1| Allofournierella massiliensis strain AT2 16S ribosomal RNA, partial sequence",4
"gi|631252195|ref|NR_113393.1| Peptococcus niger strain JCM 6506 16S ribosomal RNA, partial sequence",4
"gi|631251714|ref|NR_112912.1| Rhodopseudomonas palustris strain ATCC 17001 16S ribosomal RNA, partial sequence",4
"gi|672239013|ref|NR_125602.1| Noviherbaspirillum massiliense JC206 16S ribosomal RNA, partial sequence",4
"gi|631251954|ref|NR_113152.1| Alistipes putredinis strain JCM 16772 16S ribosomal RNA, partial sequence",4
"gi|659364440|ref|NR_121678.1| Desulfuromonas acetoxidans strain DSM 684 16S ribosomal RNA, partial sequence",4
"gi|2621112341|ref|NR_189245.1| Aristaeella lactis strain WTE2008 16S ribosomal RNA, partial sequence",4
"gi|343205910|ref|NR_044405.1| Chromobacterium aquaticum strain CC-SEYA-1 16S ribosomal RNA, partial sequence",4
"gi|1341394063|ref|NR_153735.1| Chromobacterium alkanivorans strain IITR-71 16S ribosomal RNA, partial sequence",4
"gi|470467498|ref|NR_074178.1| Methylobacillus flagellatus strain KT 16S ribosomal RNA, partial sequence",4
"gi|265678481|ref|NR_028784.1| Paracoccus kondratievae strain GB 16S ribosomal RNA, partial sequence",4
"gi|631253129|ref|NR_114327.1| Lactococcus taiwanensis strain 0905C15 16S ribosomal RNA, partial sequence",4
"gi|343205029|ref|NR_043850.1| Streptomyces monomycini strain NRRL B-24309 16S ribosomal RNA, partial sequence",4
"gi|559795318|ref|NR_104911.1| Vampirovibrio chlorellavorus strain ICPB 3707 16S ribosomal RNA, partial sequence",4
"gi|219857214|ref|NR_024842.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",4
"gi|636559184|ref|NR_115241.1| Streptococcus parasanguinis ATCC 15912 16S ribosomal RNA, partial sequence",4
"gi|265678302|ref|NR_028604.1| Collinsella aerofaciens strain ATCC 25986 16S ribosomal RNA, partial sequence",4
"gi|631252118|ref|NR_113316.1| Collinsella aerofaciens strain JCM 10188 16S ribosomal RNA, partial sequence",4
"gi|1193829156|ref|NR_147399.1| Collinsella phocaeensis strain Marseille-P3245 16S ribosomal RNA, partial sequence",4
"gi|1679775888|ref|NR_163611.1| Jatrophihabitans telluris strain N237 16S ribosomal RNA, partial sequence",4
"gi|2363086747|ref|NR_181630.1| Catenulispora pinistramenti strain NL8 16S ribosomal RNA, partial sequence",4
