organism,count
"gi|219878391|ref|NR_025530.1| Comamonas kerstersii strain LMG 3475 16S ribosomal RNA, partial sequence",6
"gi|444303835|ref|NR_074257.1| Methylorubrum populi BJ001 16S ribosomal RNA, partial sequence",6
"gi|2363082035|ref|NR_179264.1| Thermus sediminis strain L198 16S ribosomal RNA, partial sequence",6
"gi|2296162966|ref|NR_177915.1| Ramsaria avicennae 16S ribosomal RNA, complete sequence",6
"gi|631253193|ref|NR_114391.1| Ligilactobacillus faecis strain AFL13-2 16S ribosomal RNA, partial sequence",6
"gi|636559808|ref|NR_115868.1| Adlercreutzia caecimuris B7 16S ribosomal RNA, partial sequence",6
"gi|631252602|ref|NR_113800.1| Priestia flexa strain NBRC 15715 16S ribosomal RNA, partial sequence",6
"gi|2363080737|ref|NR_178610.1| Priestia veravalensis strain SGD-V-76 16S ribosomal RNA, partial sequence",6
"gi|343203506|ref|NR_043677.1| Chitinimonas koreensis strain R2A43-10 16S ribosomal RNA, partial sequence",6
"gi|1269235725|ref|NR_145955.2| Spiribacter curvatus strain UAH-SP71 16S ribosomal RNA, complete sequence",6
"gi|1040567028|ref|NR_137377.1| Haliea atlantica strain SM1351 16S ribosomal RNA, partial sequence",6
"gi|1040567061|ref|NR_137410.1| Terriglobus albidus strain Ac_26_B10 16S ribosomal RNA, partial sequence",6
"gi|1909404485|ref|NR_170540.1| Janthinobacterium rivuli strain FT68W 16S ribosomal RNA, partial sequence",6
"gi|918024594|ref|NR_132395.1| Endobacter medicaginis strain M1MS02 16S ribosomal RNA, partial sequence",6
"gi|961555189|ref|NR_134158.1| Roseiarcus fermentans strain Pf56 16S ribosomal RNA, partial sequence",6
"gi|444304128|ref|NR_074552.1| Rubrobacter xylanophilus strain DSM 9941 16S ribosomal RNA, partial sequence",6
"gi|645322440|ref|NR_119187.1| Rubrobacter xylanophilus strain PRD-1 16S ribosomal RNA, partial sequence",6
"gi|672239116|ref|NR_125705.1| Aggregicoccus edonensis strain MCy1366 16S ribosomal RNA, partial sequence",6
"gi|636560191|ref|NR_116251.1| Thermus arciformis strain TH92 16S ribosomal RNA, partial sequence",6
"gi|1040566998|ref|NR_137347.1| Sulfurifustis variabilis strain skN76 16S ribosomal RNA, partial sequence",6
"gi|1171002964|ref|NR_146349.1| Lacunisphaera limnophila strain IG16b 16S ribosomal RNA, partial sequence",6
"gi|1171002991|ref|NR_146376.1| Lacunisphaera limnophila strain IG16b 16S ribosomal RNA, partial sequence",6
"gi|1558439485|ref|NR_160522.1| Polyangium fumosum strain Pl fu5 16S ribosomal RNA, partial sequence",6
"gi|2363082133|ref|NR_179313.1| Rhizobium dioscoreae strain S-93 16S ribosomal RNA, partial sequence",6
"gi|485099115|ref|NR_102511.1| Rhizobium tropici CIAT 899 16S ribosomal RNA, partial sequence",6
"gi|645321015|ref|NR_118084.1| Rhizobium tropici CIAT 899 16S ribosomal RNA, partial sequence",6
"gi|2180566483|ref|NR_174323.1| Chitinophaga tropicalis strain ysch24 16S ribosomal RNA, partial sequence",6
"gi|1315204035|ref|NR_152705.1| Paraburkholderia pallidirosea strain DHOK13 16S ribosomal RNA, partial sequence",6
"gi|1199303389|ref|NR_147740.1| Companilactobacillus insicii strain TMW 1.2011 16S ribosomal RNA, partial sequence",6
"gi|974142258|ref|NR_134778.1| Nocardiopsis algeriensis strain B32 16S ribosomal RNA, partial sequence",6
"gi|343200211|ref|NR_040898.1| Aquaspirillum arcticum strain IAM 14963 16S ribosomal RNA, partial sequence",5
"gi|310975255|ref|NR_037119.1| Acidisphaera rubrifaciens strain HS-AP3 16S ribosomal RNA, partial sequence",5
"gi|1193829158|ref|NR_147401.1| Sutterella massiliensis strain Marseille-P2435 16S ribosomal RNA, partial sequence",5
"gi|2363084673|ref|NR_180585.1| Pseudoduganella guangdongensis strain DS3 16S ribosomal RNA, partial sequence",5
"gi|2363080123|ref|NR_178280.1| Faecalibacterium duncaniae strain A2-165 16S ribosomal RNA, partial sequence",5
"gi|265678656|ref|NR_028961.1| Faecalibacterium prausnitzii strain ATCC 27768 16S ribosomal RNA, partial sequence",5
"gi|645320683|ref|NR_117831.1| Sphingomonas ginsenosidimutans strain Gsoil 1429 16S ribosomal RNA, partial sequence",5
"gi|558508640|ref|NR_104564.1| Thalassomonas viridans strain XOM25 16S ribosomal RNA, partial sequence",5
"gi|444303860|ref|NR_074282.1| Gloeobacter violaceus PCC 7421 16S ribosomal RNA, complete sequence",5
"gi|2221405577|ref|NR_175585.1| Sphingomonas suaedae strain XS-10 16S ribosomal RNA, partial sequence",5
"gi|2221405418|ref|NR_175516.1| Sphingomonas suaedae strain XS-10 16S ribosomal RNA, partial sequence",5
"gi|2363082875|ref|NR_179686.1| Acidicapsa dinghuensis strain 4GSKX 16S ribosomal RNA, partial sequence",5
"gi|2463901633|ref|NR_184590.1| Undibacter mobilis strain GY_H 16S ribosomal RNA, partial sequence",5
"gi|1246951799|ref|NR_149803.1| Bradyrhizobium americanum strain CMVU44 16S ribosomal RNA, partial sequence",5
"gi|631252760|ref|NR_113958.1| Lactococcus lactis subsp. hordniae strain NBRC 100931 16S ribosomal RNA, partial sequence",5
"gi|659364762|ref|NR_121730.1| Legionella oakridgensis strain OR-10 16S ribosomal RNA, partial sequence",5
"gi|343198690|ref|NR_043287.1| Lactobacillus amylovorus DSM 20531 16S ribosomal RNA, partial sequence",5
"gi|444303891|ref|NR_074313.1| Nitrobacter hamburgensis X14 16S ribosomal RNA, partial sequence",5
"gi|2363080049|ref|NR_178241.1| Rhodopseudomonas telluris strain TUT3615 16S ribosomal RNA, partial sequence",5
"gi|219878235|ref|NR_025374.1| Methylobacterium fujisawaense strain DSM 5686 16S ribosomal RNA, partial sequence",5
"gi|2363080201|ref|NR_178324.1| Paraburkholderia caballeronis strain TNe-841 16S ribosomal RNA, partial sequence",5
"gi|2363081136|ref|NR_178811.1| Burkholderia guangdongensis strain DHOM02 16S ribosomal RNA, partial sequence",5
"gi|1441204335|ref|NR_157750.1| Thermus caldifontis strain YIM 73026 16S ribosomal RNA, partial sequence",5
"gi|1779814920|ref|NR_164994.1| Thermus caldilimi strain YIM 78456 16S ribosomal RNA, partial sequence",5
"gi|265678777|ref|NR_029082.1| Methylorubrum populi BJ001 16S ribosomal RNA, partial sequence",5
"gi|1909404486|ref|NR_170541.1| Janthinobacterium violaceinigrum strain FT13W 16S ribosomal RNA, partial sequence",5
"gi|444303904|ref|NR_074327.1| Acidiphilium multivorum strain AIU301 16S ribosomal RNA, complete sequence",5
"gi|636560010|ref|NR_116070.1| Acinetobacter septicus strain AK001 16S ribosomal RNA, partial sequence",5
"gi|507148007|ref|NR_102814.1| Acinetobacter oleivorans strain DR1 16S ribosomal RNA, partial sequence",5
"gi|444439585|ref|NR_074900.1| Desulfomicrobium baculatum DSM 4028 16S ribosomal RNA, partial sequence",5
"gi|1491516041|ref|NR_159239.1| Rhodoplanes azumiensis strain TUT3581 16S ribosomal RNA, partial sequence",5
"gi|343200182|ref|NR_040869.1| Cupriavidus laharis strain 1263a 16S ribosomal RNA, partial sequence",5
"gi|219857517|ref|NR_025105.1| Pseudoxanthomonas mexicana strain AMX 26B 16S ribosomal RNA, partial sequence",5
"gi|343201755|ref|NR_042481.1| Microbacterium thalassium strain DSM 12511 16S ribosomal RNA, partial sequence",5
"gi|2363082873|ref|NR_179685.1| Edaphobacter bradus strain 4MSH08 16S ribosomal RNA, partial sequence",5
"gi|1246951816|ref|NR_149820.1| Novosphingobium pokkalii strain L3E4 16S ribosomal RNA, partial sequence",5
"gi|959494826|ref|NR_133705.1| Brachybacterium huguangmaarense strain M1 16S ribosomal RNA, partial sequence",5
"gi|636560566|ref|NR_116626.1| Marinitalea sucinacia strain JC2131 16S ribosomal RNA, partial sequence",5
"gi|636559005|ref|NR_115062.1| Legionella dresdenensis strain W03-356 16S ribosomal RNA, partial sequence",5
"gi|343205664|ref|NR_044033.1| Streptacidiphilus melanogenes strain SB-B34 16S ribosomal RNA, partial sequence",5
"gi|343205610|ref|NR_043935.1| Pseudomonas chlororaphis subsp. aurantiaca strain NCIB 10068 16S ribosomal RNA, partial sequence",5
"gi|636558538|ref|NR_114595.1| Pseudomonas tolaasii NCPPB 2192 16S ribosomal RNA, partial sequence",5
"gi|1024974868|ref|NR_136837.1| Delftia deserti strain YIM Y792 16S ribosomal RNA, partial sequence",5
"gi|961555000|ref|NR_133967.1| Arenimonas maotaiensis strain YT8 16S ribosomal RNA, partial sequence",5
"gi|1441204268|ref|NR_157683.1| Muricoccus aeriglobus strain KER25-12 16S ribosomal RNA, partial sequence",5
"gi|2363086005|ref|NR_181255.1| Mesorhizobium comanense strain 3P27G6 16S ribosomal RNA, partial sequence",5
"gi|2363087407|ref|NR_181960.1| Snodgrassella gandavensis strain LMG 30236 16S ribosomal RNA, partial sequence",5
"gi|631251998|ref|NR_113196.1| Neomoorella thermoacetica strain JCM 9319 16S ribosomal RNA, partial sequence",5
"gi|2363084526|ref|NR_180511.1| Paenibacillus albicereus strain UniB2 16S ribosomal RNA, partial sequence",5
"gi|228715357|ref|NR_027529.1| Gemmatimonas aurantiaca T-27 16S ribosomal RNA, partial sequence",4
"gi|631251579|ref|NR_112776.1| Rhodovastum atsumiense strain G2-11 16S ribosomal RNA, partial sequence",4
"gi|343202413|ref|NR_042699.1| Enterovibrio nigricans strain DAl 1-1-5 16S ribosomal RNA, partial sequence",4
"gi|699005303|ref|NR_126172.1| Povalibacter uvarum strain Zumi 37 16S ribosomal RNA, partial sequence",4
"gi|2363081104|ref|NR_178795.1| Euzebya pacifica strain DY32-46 16S ribosomal RNA, partial sequence",4
"gi|636558405|ref|NR_114461.1| Xylophilus ampelinus strain ATCC 33914 16S ribosomal RNA, partial sequence",4
"gi|1018196547|ref|NR_136426.1| Chromobacterium amazonense strain CBMAI 310 16S ribosomal RNA, partial sequence",4
"gi|1384992298|ref|NR_156047.1| Achromobacter aloeverae strain AVA-1 16S ribosomal RNA, partial sequence",4
"gi|631253117|ref|NR_114315.1| Blautia luti DSM 14534 = JCM 17040 16S ribosomal RNA, partial sequence",4
"gi|636560317|ref|NR_116377.1| Methylorosula polaris strain V-022 16S ribosomal RNA, partial sequence",4
"gi|2363086558|ref|NR_181536.1| Pseudomonas phenolilytica strain RBPA9 16S ribosomal RNA, partial sequence",4
"gi|219878225|ref|NR_025364.1| Actinomyces urogenitalis strain CCUG 38702 16S ribosomal RNA, partial sequence",4
"gi|1277396375|ref|NR_152088.1| Paraburkholderia caffeinilytica strain CF1 16S ribosomal RNA, partial sequence",4
"gi|631250756|ref|NR_104755.1| Magnetospirillum molischianum strain DSM 120 16S ribosomal RNA, partial sequence",4
"gi|1269801276|ref|NR_115284.2| Geobacillus stearothermophilus strain BGSC 9A20 16S ribosomal RNA, complete sequence",4
"gi|343200107|ref|NR_040794.1| Geobacillus stearothermophilus strain IFO 12550 16S ribosomal RNA, partial sequence",4
"gi|645319596|ref|NR_116987.1| Geobacillus stearothermophilus strain R-35646 16S ribosomal RNA, partial sequence",4
"gi|645320381|ref|NR_117599.1| Archangium disciforme strain DSM 52716 16S ribosomal RNA, partial sequence",4
"gi|444303822|ref|NR_074244.1| Methylobacterium radiotolerans JCM 2831 16S ribosomal RNA, partial sequence",4
"gi|343198627|ref|NR_043104.1| Methylobacterium oryzae CBMB20 16S ribosomal RNA, partial sequence",4
"gi|943392621|ref|NR_117900.2| Brevundimonas viscosa strain F3 16S ribosomal RNA, partial sequence",4
"gi|2363082292|ref|NR_179393.1| Neobacillus massiliamazoniensis strain LF1 16S ribosomal RNA, partial sequence",4
"gi|2962412232|ref|NR_199426.1| Bacillus yunxiaonensis strain FJAT-53711 16S ribosomal RNA, partial sequence",4
"gi|1397641799|ref|NR_156908.1| Mesobacillus zeae strain JJ-247 16S ribosomal RNA, partial sequence",4
"gi|1193829154|ref|NR_147397.1| Bacillus marasmi strain Marseille-P3556 16S ribosomal RNA, partial sequence",4
"gi|2363087377|ref|NR_181945.1| Metabacillus flavus strain KIGAM252 16S ribosomal RNA, complete sequence",4
"gi|343202726|ref|NR_043152.1| Ralstonia pickettii strain ATCC 27511 16S ribosomal RNA, partial sequence",4
"gi|631252928|ref|NR_114126.1| Ralstonia pickettii strain NBRC 102503 16S ribosomal RNA, partial sequence",4
"gi|631252154|ref|NR_113352.1| Ralstonia pickettii strain JCM 5969 16S ribosomal RNA, partial sequence",4
"gi|1277396287|ref|NR_151998.1| Paracoccus acridae strain SCU-M53 16S ribosomal RNA, partial sequence",4
"gi|1240411921|ref|NR_149253.1| Paracoccus speluncae strain 0911TES13M5 16S ribosomal RNA, partial sequence",4
"gi|645321515|ref|NR_118463.1| Paracoccus siganidrum strain M26 16S ribosomal RNA, partial sequence",4
"gi|219856906|ref|NR_024727.1| Sporichthya polymorpha DSM 43042 16S ribosomal RNA, partial sequence",4
"gi|636559894|ref|NR_115954.1| Sphingobacterium allocomposti strain 4M24 16S ribosomal RNA, partial sequence",4
"gi|961555210|ref|NR_134179.1| Sphingobacterium paludis strain S37 16S ribosomal RNA, partial sequence",4
"gi|2363086782|ref|NR_181648.1| Paraburkholderia acidicola strain ATCC 31363 16S ribosomal RNA, complete sequence",4
"gi|343205579|ref|NR_043921.1| Piscinibacter aquaticus strain IMCC1728 16S ribosomal RNA, partial sequence",4
"gi|636559197|ref|NR_115254.1| Bartonella phoceensis strain 16120 16S ribosomal RNA, partial sequence",4
"gi|2363085296|ref|NR_180896.1| Massilia frigida strain CCM 8695 16S ribosomal RNA, partial sequence",4
"gi|631250834|ref|NR_112030.1| Stenotrophomonas maltophilia strain ATCC 13637 16S ribosomal RNA, partial sequence",4
"gi|2363084842|ref|NR_180669.1| Lactococcus protaetiae strain KACC 19320 16S ribosomal RNA, complete sequence",4
"gi|631252570|ref|NR_113768.1| Brevibacillus centrosporus strain NBRC 15540 16S ribosomal RNA, partial sequence",4
"gi|631251014|ref|NR_112211.1| Brevibacillus centrosporus strain DSM 8445 16S ribosomal RNA, partial sequence",4
"gi|343202920|ref|NR_043414.1| Brevibacillus centrosporus strain NRRL NRS-664 16S ribosomal RNA, partial sequence",4
"gi|2836274930|ref|NR_197693.1| Roseateles violae strain PFR6 16S ribosomal RNA, partial sequence",4
"gi|959495051|ref|NR_133903.1| Thermotoga caldifontis AZM44c09 16S ribosomal RNA, partial sequence",4
"gi|645320273|ref|NR_117518.1| Nitratireductor indicus C115 16S ribosomal RNA, partial sequence",4
"gi|343200860|ref|NR_041547.1| Thermosulfidibacter takaii strain ABI70S6 16S ribosomal RNA, partial sequence",4
"gi|2363080227|ref|NR_178338.1| Ginsengibacter hankyongi strain BR5-29 16S ribosomal RNA, partial sequence",4
"gi|1909404484|ref|NR_170539.1| Janthinobacterium aquaticum strain FT58W 16S ribosomal RNA, partial sequence",4
"gi|219846872|ref|NR_026464.1| Ferribacterium limneticum strain cda-1 16S ribosomal RNA, partial sequence",4
"gi|343198427|ref|NR_041798.1| Ferrimicrobium acidiphilum strain T23 16S ribosomal RNA, partial sequence",4
"gi|343198689|ref|NR_043281.1| Thermaerobacter litoralis strain KW1 16S ribosomal RNA, partial sequence",4
"gi|631250993|ref|NR_112190.1| Rhodoplanes tepidamans strain DSM 9987 16S ribosomal RNA, partial sequence",4
"gi|1270533081|ref|NR_074852.2| Corallococcus coralloides DSM 2259 16S ribosomal RNA, complete sequence",4
"gi|1441204236|ref|NR_157651.1| Sphingomonas spermidinifaciens strain 9NM-10 16S ribosomal RNA, partial sequence",4
"gi|2180566351|ref|NR_174227.1| Cutibacterium modestum strain M12 16S ribosomal RNA, partial sequence",4
"gi|219846091|ref|NR_025681.1| Aeromicrobium marinum strain T2 16S ribosomal RNA, partial sequence",4
"gi|631250803|ref|NR_111999.1| Microbacterium thalassium strain IFO 16060 16S ribosomal RNA, partial sequence",4
"gi|1315203989|ref|NR_152658.1| Streptomyces ovatisporus strain S4702 16S ribosomal RNA, partial sequence",4
"gi|2363085346|ref|NR_180921.1| Paracoccus binzhouensis strain wg1 16S ribosomal RNA, partial sequence",4
"gi|343198453|ref|NR_041886.1| Haematobacter massiliensis strain Framboise 16S ribosomal RNA, partial sequence",4
"gi|219857188|ref|NR_024816.1| Segatella salivae strain EPSA11 16S ribosomal RNA, partial sequence",4
"gi|1491519567|ref|NR_159260.1| Streptomyces capitiformicae strain 1H-SSA4 16S ribosomal RNA, partial sequence",4
"gi|1679775919|ref|NR_163641.1| Mesobacillus fermenti strain Bf-1 16S ribosomal RNA, partial sequence",4
"gi|1558439489|ref|NR_160537.1| Polyangium spumosum strain Pl sm5 16S ribosomal RNA, partial sequence",4
"gi|2363083845|ref|NR_180171.1| Sphingomonas lacunae strain CSW-10 16S ribosomal RNA, partial sequence",4
"gi|1315204004|ref|NR_152673.1| Flavihumibacter stibioxidans strain YS-17 16S ribosomal RNA, partial sequence",4
"gi|1227086164|ref|NR_148643.1| Acinetobacter equi strain 114 16S ribosomal RNA, partial sequence",4
"gi|2363082384|ref|NR_179439.1| Pseudenterobacter timonensis strain mt20 16S ribosomal RNA, partial sequence",4
"gi|343201548|ref|NR_042274.1| Mesobacillus foraminis strain CV53 16S ribosomal RNA, partial sequence",4
"gi|1779814941|ref|NR_165015.1| Lujinxingia sediminis strain SEH01 16S ribosomal RNA, partial sequence",4
"gi|343198546|ref|NR_042843.1| Prevotella melaninogenica ATCC 25845 16S ribosomal RNA, partial sequence",4
"gi|1277396196|ref|NR_151907.1| Cephaloticoccus primus strain CAG34 16S ribosomal RNA, partial sequence",4
"gi|959495042|ref|NR_133888.1| Sediminibacterium magnilacihabitans strain MU-2 16S ribosomal RNA, partial sequence",4
"gi|2363084206|ref|NR_180352.1| Chitinophaga lutea strain ZY74 16S ribosomal RNA, partial sequence",4
"gi|219856839|ref|NR_024658.1| Paracoccus carotinifaciens strain E-396 16S ribosomal RNA, partial sequence",4
"gi|2363085446|ref|NR_180971.1| Paracoccus shandongensis strain wg2 16S ribosomal RNA, partial sequence",4
"gi|645320312|ref|NR_117547.1| Enterobacter soli ATCC BAA-2102 strain LF7 16S ribosomal RNA, partial sequence",4
"gi|2363082015|ref|NR_179254.1| Enterobacter oligotrophicus strain CCA6 16S ribosomal RNA, partial sequence",4
"gi|1384992381|ref|NR_156157.1| Luteolibacter flavescens strain GKX 16S ribosomal RNA, partial sequence",4
"gi|343200352|ref|NR_041039.1| Azotobacter vinelandii strain IAM 15004 16S ribosomal RNA, partial sequence",4
"gi|1230874615|ref|NR_148775.1| Phycicoccus endophyticus strain IP6SC6 16S ribosomal RNA, partial sequence",4
"gi|343198658|ref|NR_043213.1| Desulfuromonas svalbardensis strain 112 16S ribosomal RNA, partial sequence",4
"gi|566084828|ref|NR_108192.1| Solirubrobacter ginsenosidimutans strain BXN5-15 16S ribosomal RNA, partial sequence",4
"gi|1491514416|ref|NR_159158.1| Chitinimonas lacunae strain H2 16S ribosomal RNA, partial sequence",4
"gi|1269801495|ref|NR_102489.2| Bradyrhizobium oligotrophicum S58 16S ribosomal RNA, complete sequence",4
"gi|2363086689|ref|NR_181601.1| Roseococcus pinisoli strain XZZS9 16S ribosomal RNA, partial sequence",4
"gi|1227086032|ref|NR_148580.1| Acidicapsa acidisoli strain SK-11 16S ribosomal RNA, partial sequence",4
"gi|645319784|ref|NR_117150.1| Thermus filiformis strain DSM 4687 16S ribosomal RNA, partial sequence",4
"gi|545589062|ref|NR_044690.2| Bifidobacterium coryneforme strain ATCC 25911 16S ribosomal RNA, partial sequence",4
"gi|2836274954|ref|NR_197717.1| Chitinophaga pollutisoli strain GPA1 16S ribosomal RNA, partial sequence",4
"gi|645321454|ref|NR_118416.1| Peterkaempfera griseoplana strain NRRL-ISP 5009 16S ribosomal RNA, partial sequence",4
"gi|1953646718|ref|NR_171513.1| Chitinophaga deserti strain XJ-2 16S ribosomal RNA, partial sequence",4
"gi|2363081794|ref|NR_179143.1| Methylophilus aquaticus strain LTK 16S ribosomal RNA, partial sequence",4
"gi|1171002967|ref|NR_146352.1| Paraburkholderia kirstenboschensis strain Kb15 16S ribosomal RNA, partial sequence",4
"gi|2363083028|ref|NR_179762.1| Inhella crocodyli strain CCP-18 16S ribosomal RNA, partial sequence",4
"gi|1237076872|ref|NR_144695.2| Corynebacterium jeddahense strain JCB 16S ribosomal RNA, partial sequence",4
"gi|631252195|ref|NR_113393.1| Peptococcus niger strain JCM 6506 16S ribosomal RNA, partial sequence",4
"gi|2363085864|ref|NR_181184.1| Brevundimonas huaxiensis strain 090558 16S ribosomal RNA, partial sequence",3
"gi|219846538|ref|NR_026130.1| Zoogloea ramigera strain 106 16S ribosomal RNA, partial sequence",3
"gi|2363082924|ref|NR_179710.1| Brevundimonas mongoliensis strain R-10-10 16S ribosomal RNA, partial sequence",3
"gi|2363082673|ref|NR_179584.1| Blautia phocaeensis strain Marseille-P3441 16S ribosomal RNA, partial sequence",3
"gi|343198920|ref|NR_044040.1| Ralstonia solanacearum strain K60-1 16S ribosomal RNA, partial sequence",3
"gi|219878246|ref|NR_025385.1| Ralstonia mannitolilytica strain LMG 6866 16S ribosomal RNA, partial sequence",3
"gi|343200116|ref|NR_040803.1| Ralstonia syzygii strain ATCC 49543 16S ribosomal RNA, partial sequence",3
"gi|959495011|ref|NR_133862.1| Sphingomonas daechungensis strain CH15-11 16S ribosomal RNA, partial sequence",3
"gi|636558991|ref|NR_115048.1| Mesorhizobium tamadayense strain Ala-3 16S ribosomal RNA, partial sequence",3
"gi|343198612|ref|NR_043069.1| Alkalidesulfovibrio alkalitolerans strain RT2 16S ribosomal RNA, partial sequence",3
"gi|343202599|ref|NR_042975.1| Photobacterium halotolerans strain MACL01 16S ribosomal RNA, partial sequence",3
"gi|2363083773|ref|NR_180134.1| Paramagnetospirillum kuznetsovii strain LBB-42 16S ribosomal RNA, complete sequence",3
"gi|645319573|ref|NR_116970.1| Phaeovibrio sulfidiphilus strain JA480 16S ribosomal RNA, partial sequence",3
"gi|2363082685|ref|NR_179590.1| Blautia provencensis strain Marseille-P3502 16S ribosomal RNA, partial sequence",3
"gi|1864207049|ref|NR_169343.1| Roseomonas chloroacetimidivorans strain BUT-13 16S ribosomal RNA, partial sequence",3
"gi|645321371|ref|NR_118353.1| Desulfurispirillum alkaliphilum strain SR1 16S ribosomal RNA, partial sequence",3
"gi|2180566308|ref|NR_174193.1| Cupriavidus agavae strain ASC-9842 16S ribosomal RNA, partial sequence",3
"gi|631253128|ref|NR_114326.1| Fusicatenibacter saccharivorans strain HT03-11 16S ribosomal RNA, partial sequence",3
"gi|2363086456|ref|NR_181482.1| Aquamicrobium zhengzhouense strain cd-1 16S ribosomal RNA, partial sequence",3
"gi|343200949|ref|NR_041636.1| Sphingobacterium kitahiroshimense strain 10C 16S ribosomal RNA, partial sequence",3
"gi|219878398|ref|NR_025537.1| Sphingobacterium faecium strain DSM 11690 16S ribosomal RNA, partial sequence",3
"gi|631252546|ref|NR_113744.1| Sphingobacterium faecium strain NBRC 15299 16S ribosomal RNA, partial sequence",3
"gi|2136551588|ref|NR_173591.1| Maritimibacter fusiformis strain HY14 16S ribosomal RNA, partial sequence",3
"gi|961555122|ref|NR_134090.1| Minicystis rosea strain SBNa008 16S ribosomal RNA, partial sequence",3
"gi|444303793|ref|NR_074215.1| Methylorubrum extorquens CM4 16S ribosomal RNA, partial sequence",3
"gi|507148047|ref|NR_102854.1| Pseudomonas entomophila L48 16S ribosomal RNA, partial sequence",3
"gi|343200817|ref|NR_041504.1| Olivibacter ginsengisoli strain Gsoil 060 16S ribosomal RNA, partial sequence",3
"gi|848212602|ref|NR_132298.1| Chiayiivirga flava strain CC-YHH031 16S ribosomal RNA, partial sequence",3
"gi|1441204331|ref|NR_157746.1| Laceyella thermophila strain YIM 79486 16S ribosomal RNA, complete sequence",3
"gi|1269693839|ref|NR_133704.2| Sutcliffiella tianshenii strain YIM M13235 16S ribosomal RNA, complete sequence",3
"gi|2363085294|ref|NR_180895.1| Massilia mucilaginosa strain CCM 8733 16S ribosomal RNA, partial sequence",3
"gi|219856832|ref|NR_024651.1| Acidiphilium multivorum strain AIU 301 16S ribosomal RNA, partial sequence",3
"gi|1909404361|ref|NR_170414.1| Acidiferrimicrobium australe strain USS-CCA1 16S ribosomal RNA, partial sequence",3
"gi|2363083297|ref|NR_179897.1| Kaistia algarum strain LYH11 16S ribosomal RNA, partial sequence",3
"gi|444303873|ref|NR_074295.1| Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence >gi|645320930|ref|NR_118021.1| Granulicella tundricola MP5ACTX9 16S ribosomal RNA, partial sequence",3
"gi|699005391|ref|NR_126260.1| Acidibacter ferrireducens strain MCF85 16S ribosomal RNA, partial sequence",3
"gi|1277396214|ref|NR_151925.1| Rhodobacter sediminis strain N1 16S ribosomal RNA, partial sequence",3
"gi|343202913|ref|NR_043407.1| Rhodobacter capsulatus strain ATCC 11166 16S ribosomal RNA, partial sequence",3
"gi|566085041|ref|NR_108624.1| Mesorhizobium hawassense strain AC99b 16S ribosomal RNA, partial sequence",3
"gi|2363084485|ref|NR_180490.1| Bradyrhizobium diversitatis strain CNPSo 4019 16S ribosomal RNA, partial sequence",3
"gi|631252421|ref|NR_113619.1| Cupriavidus oxalaticus NBRC 13593 16S ribosomal RNA, partial sequence",3
"gi|2363084665|ref|NR_180581.1| Lichenicoccus roseus strain KEBCLARHB70R 16S ribosomal RNA, partial sequence",3
"gi|645320409|ref|NR_117621.1| Acinetobacter pittii DSM 21653 strain ATCC 19004 16S ribosomal RNA, partial sequence",3
"gi|1240411919|ref|NR_149251.1| Longimicrobium terrae strain CB-286315 16S ribosomal RNA, partial sequence",3
"gi|1146059177|ref|NR_145909.1| Pseudorhodoplanes sinuspersici strain RIPI 110 16S ribosomal RNA, partial sequence",3
"gi|1864207041|ref|NR_169335.1| Lichenibacterium ramalinae strain KCTC 72076 16S ribosomal RNA, partial sequence",3
"gi|2363085434|ref|NR_180965.1| Bifidobacterium saimiriisciurei strain SMA1 16S ribosomal RNA, complete sequence",3
"gi|470466266|ref|NR_074111.1| Brucella melitensis strain 16M 16S ribosomal RNA, partial sequence",3
"gi|444303864|ref|NR_074286.1| Brucella canis strain ATCC 23365 16S ribosomal RNA, complete sequence >gi|1269801289|ref|NR_103935.2| Brucella suis 1330 16S ribosomal RNA, complete sequence >gi|1269816128|ref|NR_074336.2| Brucella microti strain CCM 4915 16S ribosomal RNA, complete sequence",3
"gi|265678892|ref|NR_029200.1| Afipia broomeae strain F186 16S ribosomal RNA, partial sequence",3
"gi|1270533052|ref|NR_102794.2| Enterobacter cloacae strain ATCC 13047 16S ribosomal RNA, complete sequence",3
"gi|343198994|ref|NR_044270.1| Segatella maculosa strain W1609 16S ribosomal RNA, partial sequence",3
"gi|631251920|ref|NR_113118.1| Segatella oris strain JCM 12252 16S ribosomal RNA, partial sequence >gi|631251921|ref|NR_113119.1| Segatella oris strain JCM 8540 16S ribosomal RNA, partial sequence",3
"gi|507148054|ref|NR_102861.1| Alistipes shahii WAL 8301 16S ribosomal RNA, partial sequence",3
"gi|631251955|ref|NR_113153.1| Alistipes shahii strain JCM 16773 16S ribosomal RNA, partial sequence",3
"gi|2962412222|ref|NR_199416.1| Minisyncoccus archaeiphilus strain PMX.108 16S ribosomal RNA, partial sequence",3
"gi|566084946|ref|NR_108490.1| Amantichitinum ursilacus strain IGB-41 16S ribosomal RNA, partial sequence",3
"gi|343198932|ref|NR_044077.1| Sphingobacterium spiritivorum strain NCTC 11386 16S ribosomal RNA, partial sequence",3
"gi|631252509|ref|NR_113707.1| Sphingobacterium spiritivorum strain NBRC 14948 16S ribosomal RNA, partial sequence",3
"gi|636559439|ref|NR_115498.1| Sphingobacterium spiritivorum strain JCM 1277 16S ribosomal RNA, partial sequence",3
